"Date","Year","Month","Day","Temp.deg.C","Total.Rain.mm","Total.Precip.mm"
"1965-01-01",1965,"Jan",1,NA,NA,NA
"1965-01-02",1965,"Jan",2,NA,NA,NA
"1965-01-03",1965,"Jan",3,NA,NA,NA
"1965-01-04",1965,"Jan",4,NA,NA,NA
"1965-01-05",1965,"Jan",5,NA,NA,NA
"1965-01-06",1965,"Jan",6,NA,NA,NA
"1965-01-07",1965,"Jan",7,NA,NA,NA
"1965-01-08",1965,"Jan",8,NA,NA,NA
"1965-01-09",1965,"Jan",9,NA,NA,NA
"1965-01-10",1965,"Jan",10,NA,NA,NA
"1965-01-11",1965,"Jan",11,NA,NA,NA
"1965-01-12",1965,"Jan",12,NA,NA,NA
"1965-01-13",1965,"Jan",13,NA,NA,NA
"1965-01-14",1965,"Jan",14,NA,NA,NA
"1965-01-15",1965,"Jan",15,NA,NA,NA
"1965-01-16",1965,"Jan",16,NA,NA,NA
"1965-01-17",1965,"Jan",17,NA,NA,NA
"1965-01-18",1965,"Jan",18,NA,NA,NA
"1965-01-19",1965,"Jan",19,NA,NA,NA
"1965-01-20",1965,"Jan",20,NA,NA,NA
"1965-01-21",1965,"Jan",21,NA,NA,NA
"1965-01-22",1965,"Jan",22,NA,NA,NA
"1965-01-23",1965,"Jan",23,NA,NA,NA
"1965-01-24",1965,"Jan",24,NA,NA,NA
"1965-01-25",1965,"Jan",25,NA,NA,NA
"1965-01-26",1965,"Jan",26,NA,NA,NA
"1965-01-27",1965,"Jan",27,NA,NA,NA
"1965-01-28",1965,"Jan",28,NA,NA,NA
"1965-01-29",1965,"Jan",29,NA,NA,NA
"1965-01-30",1965,"Jan",30,NA,NA,NA
"1965-01-31",1965,"Jan",31,NA,NA,NA
"1965-02-01",1965,"Feb",1,2.5,0,0
"1965-02-02",1965,"Feb",2,0.3,1.5,1.5
"1965-02-03",1965,"Feb",3,2.8,52.6,57.2
"1965-02-04",1965,"Feb",4,5.3,59.9,59.9
"1965-02-05",1965,"Feb",5,2.5,11.4,11.4
"1965-02-06",1965,"Feb",6,0.6,0,4.6
"1965-02-07",1965,"Feb",7,1.9,3.3,3.3
"1965-02-08",1965,"Feb",8,4.2,0,0
"1965-02-09",1965,"Feb",9,0.3,0,0
"1965-02-10",1965,"Feb",10,1.1,0,0
"1965-02-11",1965,"Feb",11,0.3,0.8,0.8
"1965-02-12",1965,"Feb",12,2.2,25.7,25.7
"1965-02-13",1965,"Feb",13,3.1,0,1.5
"1965-02-14",1965,"Feb",14,1.1,4.6,4.6
"1965-02-15",1965,"Feb",15,2.5,44.2,44.2
"1965-02-16",1965,"Feb",16,3.7,43.4,43.4
"1965-02-17",1965,"Feb",17,6.1,7.4,7.4
"1965-02-18",1965,"Feb",18,8.6,8.1,8.1
"1965-02-19",1965,"Feb",19,7.8,5.6,5.6
"1965-02-20",1965,"Feb",20,2.5,0.3,0.3
"1965-02-21",1965,"Feb",21,1.1,7.9,11.7
"1965-02-22",1965,"Feb",22,2.3,0.3,0.3
"1965-02-23",1965,"Feb",23,1.7,1.8,1.8
"1965-02-24",1965,"Feb",24,4.2,3.8,3.8
"1965-02-25",1965,"Feb",25,5.3,32,32
"1965-02-26",1965,"Feb",26,4.2,34,34
"1965-02-27",1965,"Feb",27,1.7,0.3,0.3
"1965-02-28",1965,"Feb",28,0.9,0,0
"1965-03-01",1965,"Mar",1,3.6,0,0
"1965-03-02",1965,"Mar",2,6.4,0,0
"1965-03-03",1965,"Mar",3,8.1,0,0
"1965-03-04",1965,"Mar",4,10,0,0
"1965-03-05",1965,"Mar",5,10.6,0,0
